,COPD_RR,COPD_RR_LB,COPD_RR_UB
600,5.603,4.362,6.101
500,4.946,3.857,5.306
400,4.289,3.325,4.523
300,3.632,2.798,3.72
200,2.975,2.257,3.017
150,2.646,1.975,2.68
130,2.481,1.861,2.505
110,2.261,1.743,2.298
90,2.032,1.619,2.092
70,1.802,1.493,1.884
50,1.573,1.358,1.659
30,1.344,1.22,1.416
25,1.287,1.184,1.354
20,1.229,1.147,1.288
15,1.172,1.111,1.223
10,1.115,1.074,1.153
5,1.057,1.037,1.079
0,1,1,1
