,DB_RR,DB_RR_LB,DB_RR_UB
600,1.577,1.321,2.134
500,1.577,1.321,2.016
400,1.577,1.321,1.897
300,1.577,1.321,1.788
200,1.577,1.32,1.686
150,1.577,1.314,1.633
130,1.577,1.314,1.614
110,1.577,1.314,1.604
90,1.577,1.314,1.593
70,1.576,1.313,1.579
50,1.57,1.305,1.566
30,1.531,1.262,1.53
25,1.499,1.237,1.498
20,1.45,1.206,1.448
15,1.38,1.169,1.387
10,1.284,1.121,1.302
5,1.159,1.065,1.182
0,1,1,1
