,LRT_RR,LRT_RR_LB,LRT_RR_UB
600,"2.38
",1.968,2.776
500,"2.347
",1.936,2.735
400,"2.297
",1.883,2.687
300,"2.213
",1.809,2.615
200,"2.062
",1.702,2.44
150,"1.938
",1.629,2.281
135,"1.891
",1.6,2.209
120,"1.838
",1.571,2.129
105,"1.778
",1.54,2.05
90,"1.711
",1.505,1.945
75,"1.634
",1.455,1.827
60,"1.546
",1.4,1.711
45,"1.443
",1.323,1.576
30,"1.322
",1.225,1.428
25,"1.276
",1.184,1.379
20,"1.226
",1.14,1.335
15,"1.171
",1.093,1.282
10,"1.108
",1.046,1.219
5,"1.025
",1.0,1.119
0,"1.0
",1.0,1.0
