,LC_RR,LC_RR_LB,LC_RR_UB
600,1.574,1.451,2.421
500,1.574,1.451,2.275
400,1.574,1.449,2.114
300,1.574,1.445,1.961
200,1.574,1.435,1.869
150,1.574,1.422,1.842
130,1.574,1.418,1.834
110,1.56,1.411,1.811
90,1.527,1.4,1.767
70,1.482,1.369,1.692
50,1.433,1.32,1.582
30,1.346,1.226,1.425
25,1.31,1.194,1.376
20,1.267,1.16,1.32
15,1.216,1.125,1.254
10,1.155,1.086,1.179
5,1.083,1.044,1.094
0,1,1,1
